#wavelength = 0.3494
#qmax = 15.0
#qmin = 0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
1.0300e+01,1.3572e-01,1.3914e-01,5.9359e-02
1.0350e+01,1.3429e-01,1.3785e-01,5.8792e-02
1.0400e+01,1.3302e-01,1.3658e-01,5.8233e-02
1.0450e+01,1.3191e-01,1.3533e-01,5.7682e-02
1.0500e+01,1.3059e-01,1.3409e-01,5.7139e-02
1.0550e+01,1.2918e-01,1.3287e-01,5.6603e-02
1.0600e+01,1.2788e-01,1.3167e-01,5.6076e-02
1.0650e+01,1.2661e-01,1.3048e-01,5.5555e-02
1.0700e+01,1.2533e-01,1.2932e-01,5.5042e-02
1.0750e+01,1.2422e-01,1.2816e-01,5.4536e-02
1.0800e+01,1.2290e-01,1.2703e-01,5.4037e-02
1.0850e+01,1.2168e-01,1.2590e-01,5.3545e-02
1.0900e+01,1.2071e-01,1.2480e-01,5.3060e-02
1.0950e+01,1.1958e-01,1.2371e-01,5.2581e-02
1.1000e+01,1.1833e-01,1.2263e-01,5.2109e-02
1.1050e+01,1.1720e-01,1.2157e-01,5.1643e-02
1.1100e+01,1.1615e-01,1.2052e-01,5.1184e-02
1.1150e+01,1.1524e-01,1.1949e-01,5.0731e-02
1.1200e+01,1.1458e-01,1.1847e-01,5.0284e-02
1.1250e+01,1.1332e-01,1.1746e-01,4.9843e-02
1.1300e+01,1.1249e-01,1.1647e-01,4.9408e-02
1.1350e+01,1.1194e-01,1.1549e-01,4.8978e-02
1.1400e+01,1.1105e-01,1.1452e-01,4.8554e-02
1.1450e+01,1.1029e-01,1.1356e-01,4.8136e-02
1.1500e+01,1.0960e-01,1.1262e-01,4.7724e-02
1.1550e+01,1.0906e-01,1.1169e-01,4.7316e-02
1.1600e+01,1.0853e-01,1.1077e-01,4.6914e-02
1.1650e+01,1.0808e-01,1.0986e-01,4.6518e-02
1.1700e+01,1.0765e-01,1.0897e-01,4.6126e-02
1.1750e+01,1.0734e-01,1.0808e-01,4.5739e-02
1.1800e+01,1.0703e-01,1.0721e-01,4.5357e-02
1.1850e+01,1.0662e-01,1.0634e-01,4.4981e-02
1.1900e+01,1.0618e-01,1.0549e-01,4.4608e-02
1.1950e+01,1.0583e-01,1.0465e-01,4.4241e-02
1.2000e+01,1.0556e-01,1.0382e-01,4.3878e-02
1.2050e+01,1.0529e-01,1.0299e-01,4.3519e-02
1.2100e+01,1.0480e-01,1.0218e-01,4.3166e-02
1.2150e+01,1.0487e-01,1.0138e-01,4.2816e-02
1.2200e+01,1.0499e-01,1.0059e-01,4.2471e-02
1.2250e+01,1.0411e-01,9.9803e-02,4.2129e-02
1.2300e+01,1.0332e-01,9.9028e-02,4.1792e-02
1.2350e+01,1.0252e-01,9.8262e-02,4.1459e-02
1.2400e+01,1.0184e-01,9.7505e-02,4.1130e-02
1.2450e+01,1.0107e-01,9.6756e-02,4.0805e-02
1.2500e+01,1.0023e-01,9.6016e-02,4.0484e-02
1.2550e+01,9.9552e-02,9.5284e-02,4.0167e-02
1.2600e+01,9.8669e-02,9.4560e-02,3.9853e-02
1.2650e+01,9.7555e-02,9.3844e-02,3.9543e-02
1.2700e+01,9.6595e-02,9.3136e-02,3.9237e-02
1.2750e+01,9.5686e-02,9.2436e-02,3.8934e-02
1.2800e+01,9.4885e-02,9.1743e-02,3.8634e-02
1.2850e+01,9.3811e-02,9.1058e-02,3.8338e-02
1.2900e+01,9.2854e-02,9.0380e-02,3.8046e-02
1.2950e+01,9.2104e-02,8.9709e-02,3.7756e-02
1.3000e+01,9.1074e-02,8.9045e-02,3.7470e-02
1.3050e+01,8.9906e-02,8.8388e-02,3.7188e-02
1.3100e+01,8.8918e-02,8.7737e-02,3.6908e-02
1.3150e+01,8.7963e-02,8.7093e-02,3.6631e-02
1.3200e+01,8.7089e-02,8.6456e-02,3.6358e-02
1.3250e+01,8.6156e-02,8.5825e-02,3.6087e-02
1.3300e+01,8.5470e-02,8.5200e-02,3.5819e-02
1.3350e+01,8.4697e-02,8.4582e-02,3.5554e-02
1.3400e+01,8.3845e-02,8.3969e-02,3.5292e-02
1.3450e+01,8.3106e-02,8.3362e-02,3.5033e-02
1.3500e+01,8.2372e-02,8.2762e-02,3.4777e-02
1.3550e+01,8.1770e-02,8.2167e-02,3.4523e-02
1.3600e+01,8.0897e-02,8.1577e-02,3.4272e-02
1.3650e+01,8.0248e-02,8.0993e-02,3.4024e-02
1.3700e+01,7.9620e-02,8.0415e-02,3.3778e-02
1.3750e+01,7.8910e-02,7.9841e-02,3.3535e-02
1.3800e+01,7.8291e-02,7.9273e-02,3.3294e-02
1.3850e+01,7.7478e-02,7.8710e-02,3.3055e-02
1.3900e+01,7.7170e-02,7.8153e-02,3.2819e-02
1.3950e+01,7.6623e-02,7.7600e-02,3.2586e-02
1.4000e+01,7.6148e-02,7.7052e-02,3.2355e-02
1.4050e+01,7.5752e-02,7.6508e-02,3.2126e-02
1.4100e+01,7.5245e-02,7.5970e-02,3.1899e-02
1.4150e+01,7.4752e-02,7.5436e-02,3.1675e-02
1.4200e+01,7.4340e-02,7.4907e-02,3.1453e-02
1.4250e+01,7.4007e-02,7.4382e-02,3.1233e-02
1.4300e+01,7.3523e-02,7.3862e-02,3.1015e-02
1.4350e+01,7.3212e-02,7.3346e-02,3.0799e-02
1.4400e+01,7.2837e-02,7.2834e-02,3.0585e-02
1.4450e+01,7.2381e-02,7.2326e-02,3.0373e-02
1.4500e+01,7.2031e-02,7.1823e-02,3.0164e-02
1.4550e+01,7.1691e-02,7.1323e-02,2.9956e-02
1.4600e+01,7.1341e-02,7.0828e-02,2.9750e-02
1.4650e+01,7.0977e-02,7.0337e-02,2.9546e-02
1.4700e+01,7.0691e-02,6.9849e-02,2.9345e-02
1.4750e+01,7.0330e-02,6.9365e-02,2.9144e-02
1.4800e+01,6.9903e-02,6.8885e-02,2.8946e-02
1.4850e+01,6.9539e-02,6.8409e-02,2.8750e-02
1.4900e+01,6.9165e-02,6.7937e-02,2.8555e-02
1.4950e+01,6.8813e-02,6.7468e-02,2.8362e-02
1.5000e+01,6.8466e-02,6.7002e-02,2.8171e-02
1.5050e+01,6.8133e-02,6.6540e-02,2.7982e-02
1.5100e+01,6.7736e-02,6.6082e-02,2.7794e-02
1.5150e+01,6.7346e-02,6.5627e-02,2.7608e-02
1.5200e+01,6.6960e-02,6.5175e-02,2.7423e-02
1.5250e+01,6.6582e-02,6.4727e-02,2.7240e-02
1.5300e+01,6.6140e-02,6.4281e-02,2.7059e-02
1.5350e+01,6.5933e-02,6.3839e-02,2.6879e-02
1.5400e+01,6.5462e-02,6.3401e-02,2.6701e-02
1.5450e+01,6.5056e-02,6.2965e-02,2.6525e-02
1.5500e+01,6.4659e-02,6.2533e-02,2.6349e-02
1.5550e+01,6.4376e-02,6.2103e-02,2.6176e-02
1.5600e+01,6.3871e-02,6.1677e-02,2.6004e-02
1.5650e+01,6.3485e-02,6.1253e-02,2.5833e-02
1.5700e+01,6.3075e-02,6.0833e-02,2.5664e-02
1.5750e+01,6.2610e-02,6.0415e-02,2.5496e-02
1.5800e+01,6.2192e-02,6.0001e-02,2.5329e-02
1.5850e+01,6.1823e-02,5.9589e-02,2.5164e-02
1.5900e+01,6.1413e-02,5.9180e-02,2.5000e-02
1.5950e+01,6.1040e-02,5.8774e-02,2.4838e-02
1.6000e+01,6.0683e-02,5.8370e-02,2.4677e-02
1.6050e+01,6.0268e-02,5.7969e-02,2.4517e-02
1.6100e+01,5.9840e-02,5.7571e-02,2.4358e-02
1.6150e+01,5.9519e-02,5.7176e-02,2.4201e-02
1.6200e+01,5.9074e-02,5.6783e-02,2.4045e-02
