#wavelength = 0.3494
#qmax = 15.0
#qmin = 0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
1.3400e+01,5.6276e-02,5.5988e-02,3.0978e-02
1.3450e+01,5.5644e-02,5.5566e-02,3.0749e-02
1.3500e+01,5.4984e-02,5.5150e-02,3.0523e-02
1.3550e+01,5.4313e-02,5.4738e-02,3.0299e-02
1.3600e+01,5.3714e-02,5.4330e-02,3.0078e-02
1.3650e+01,5.3100e-02,5.3927e-02,2.9859e-02
1.3700e+01,5.2503e-02,5.3527e-02,2.9643e-02
1.3750e+01,5.1989e-02,5.3133e-02,2.9429e-02
1.3800e+01,5.1474e-02,5.2742e-02,2.9217e-02
1.3850e+01,5.0760e-02,5.2355e-02,2.9008e-02
1.3900e+01,5.0460e-02,5.1973e-02,2.8801e-02
1.3950e+01,5.0041e-02,5.1594e-02,2.8597e-02
1.4000e+01,4.9625e-02,5.1220e-02,2.8394e-02
1.4050e+01,4.9187e-02,5.0849e-02,2.8194e-02
1.4100e+01,4.8778e-02,5.0481e-02,2.7996e-02
1.4150e+01,4.8395e-02,5.0118e-02,2.7800e-02
1.4200e+01,4.8030e-02,4.9758e-02,2.7606e-02
1.4250e+01,4.7652e-02,4.9401e-02,2.7414e-02
1.4300e+01,4.7300e-02,4.9048e-02,2.7224e-02
1.4350e+01,4.6917e-02,4.8699e-02,2.7036e-02
1.4400e+01,4.6591e-02,4.8353e-02,2.6850e-02
1.4450e+01,4.6256e-02,4.8010e-02,2.6666e-02
1.4500e+01,4.5921e-02,4.7670e-02,2.6484e-02
1.4550e+01,4.5597e-02,4.7334e-02,2.6304e-02
1.4600e+01,4.5258e-02,4.7001e-02,2.6125e-02
1.4650e+01,4.4925e-02,4.6671e-02,2.5949e-02
1.4700e+01,4.4503e-02,4.6344e-02,2.5774e-02
1.4750e+01,4.4248e-02,4.6019e-02,2.5601e-02
1.4800e+01,4.3927e-02,4.5698e-02,2.5429e-02
1.4850e+01,4.3572e-02,4.5380e-02,2.5260e-02
1.4900e+01,4.3155e-02,4.5065e-02,2.5092e-02
1.4950e+01,4.2860e-02,4.4752e-02,2.4925e-02
1.5000e+01,4.2499e-02,4.4442e-02,2.4760e-02
1.5050e+01,4.2113e-02,4.4135e-02,2.4597e-02
1.5100e+01,4.1727e-02,4.3831e-02,2.4436e-02
1.5150e+01,4.1302e-02,4.3529e-02,2.4276e-02
1.5200e+01,4.0887e-02,4.3230e-02,2.4117e-02
1.5250e+01,4.0469e-02,4.2934e-02,2.3960e-02
1.5300e+01,4.0015e-02,4.2640e-02,2.3804e-02
1.5350e+01,3.9648e-02,4.2348e-02,2.3650e-02
1.5400e+01,3.9206e-02,4.2059e-02,2.3498e-02
1.5450e+01,3.8832e-02,4.1772e-02,2.3346e-02
1.5500e+01,3.8406e-02,4.1488e-02,2.3197e-02
1.5550e+01,3.7963e-02,4.1206e-02,2.3048e-02
1.5600e+01,3.7534e-02,4.0927e-02,2.2901e-02
1.5650e+01,3.7075e-02,4.0649e-02,2.2755e-02
1.5700e+01,3.6597e-02,4.0374e-02,2.2611e-02
1.5750e+01,3.6154e-02,4.0101e-02,2.2467e-02
1.5800e+01,3.5686e-02,3.9831e-02,2.2326e-02
1.5850e+01,3.5209e-02,3.9562e-02,2.2185e-02
1.5900e+01,3.4744e-02,3.9296e-02,2.2046e-02
1.5950e+01,3.4273e-02,3.9031e-02,2.1907e-02
1.6000e+01,3.3768e-02,3.8769e-02,2.1770e-02
1.6050e+01,3.3301e-02,3.8509e-02,2.1635e-02
1.6100e+01,3.2796e-02,3.8251e-02,2.1500e-02
1.6150e+01,3.2312e-02,3.7995e-02,2.1367e-02
1.6200e+01,3.1792e-02,3.7741e-02,2.1234e-02
1.6250e+01,3.1265e-02,3.7488e-02,2.1103e-02
1.6300e+01,3.0697e-02,3.7238e-02,2.0973e-02
1.6350e+01,3.0169e-02,3.6990e-02,2.0844e-02
1.6400e+01,2.9551e-02,3.6743e-02,2.0716e-02
1.6450e+01,2.8939e-02,3.6498e-02,2.0590e-02
1.6500e+01,2.8256e-02,3.6256e-02,2.0464e-02
1.6550e+01,2.7578e-02,3.6015e-02,2.0339e-02
1.6600e+01,2.6841e-02,3.5775e-02,2.0215e-02
1.6650e+01,2.6121e-02,3.5538e-02,2.0093e-02
1.6700e+01,2.5381e-02,3.5302e-02,1.9971e-02
1.6750e+01,2.4564e-02,3.5068e-02,1.9850e-02
1.6800e+01,2.3777e-02,3.4836e-02,1.9731e-02
1.6850e+01,2.2935e-02,3.4605e-02,1.9612e-02
1.6900e+01,2.2030e-02,3.4376e-02,1.9494e-02
1.6950e+01,2.1197e-02,3.4149e-02,1.9377e-02
1.7000e+01,2.0279e-02,3.3923e-02,1.9262e-02
